Município; Estado; FPM; Ano; Mês;
Acrelândia; AC; 83.690,96; 2000; 01;
Assis Brasil; AC; 83.690,96; 2000; 01;
Brasiléia; AC; 161.762,43; 2000; 01;
Bujari; AC; 83.690,96; 2000; 01;
Capixaba; AC; 83.690,96; 2000; 01;
Cruzeiro do Sul; AC; 328.742,89; 2000; 01;
Epitaciolândia; AC; 111.587,93; 2000; 01;
Feijó; AC; 195.278,85; 2000; 01;
Jordão; AC; 83.690,96; 2000; 01;
Mâncio Lima; AC; 83.690,96; 2000; 01;
Manoel Urbano; AC; 83.690,96; 2000; 01;
Marechal Thaumaturgo; AC; 83.690,96; 2000; 01;
Plácido de Castro; AC; 151.326,15; 2000; 01;
Porto Acre; AC; 83.690,96; 2000; 01;
Porto Walter; AC; 83.690,96; 2000; 01;
Rio Branco; AC; 3.697.809,68; 2000; 01;
Rodrigues Alves; AC; 83.690,96; 2000; 01;
Santa Rosa do Purus; AC; 83.690,97; 2000; 01;
Sena Madureira; AC; 172.198,70; 2000; 01;
Senador Guiomard; AC; 139.484,93; 2000; 01;
Tarauacá; AC; 198.289,38; 2000; 01;
Xapuri; AC; 146.108,00; 2000; 01;
Acrelândia; AC; 76.082,65; 2000; 02;
Assis Brasil; AC; 76.082,65; 2000; 02;
Brasiléia; AC; 147.056,64; 2000; 02;
Bujari; AC; 76.082,65; 2000; 02;
Capixaba; AC; 76.082,65; 2000; 02;
Cruzeiro do Sul; AC; 298.857,00; 2000; 02;
Epitaciolândia; AC; 101.443,52; 2000; 02;
Feijó; AC; 177.526,17; 2000; 02;
Jordão; AC; 76.082,65; 2000; 02;
Mâncio Lima; AC; 76.082,65; 2000; 02;
Manoel Urbano; AC; 76.082,65; 2000; 02;
Marechal Thaumaturgo; AC; 76.082,65; 2000; 02;
Plácido de Castro; AC; 137.569,12; 2000; 02;
Porto Acre; AC; 76.082,65; 2000; 02;
Porto Walter; AC; 76.082,65; 2000; 02;
Rio Branco; AC; 3.361.642,94; 2000; 02;
Rodrigues Alves; AC; 76.082,65; 2000; 02;
Santa Rosa do Purus; AC; 76.082,63; 2000; 02;
Sena Madureira; AC; 156.544,14; 2000; 02;
Senador Guiomard; AC; 126.804,40; 2000; 02;
Tarauacá; AC; 180.262,96; 2000; 02;
Xapuri; AC; 132.825,35; 2000; 02;
Acrelândia; AC; 82.880,88; 2000; 03;
Assis Brasil; AC; 82.880,88; 2000; 03;
Brasiléia; AC; 160.196,60; 2000; 03;
Bujari; AC; 82.880,88; 2000; 03;
Capixaba; AC; 82.880,88; 2000; 03;
Cruzeiro do Sul; AC; 325.560,78; 2000; 03;
Epitaciolândia; AC; 110.507,81; 2000; 03;
Feijó; AC; 193.388,66; 2000; 03;
Jordão; AC; 82.880,88; 2000; 03;
Mâncio Lima; AC; 82.880,88; 2000; 03;
Manoel Urbano; AC; 82.880,88; 2000; 03;
Marechal Thaumaturgo; AC; 82.880,88; 2000; 03;
Plácido de Castro; AC; 149.861,33; 2000; 03;
Porto Acre; AC; 82.880,88; 2000; 03;
Porto Walter; AC; 82.880,88; 2000; 03;
Rio Branco; AC; 3.662.016,15; 2000; 03;
Rodrigues Alves; AC; 82.880,88; 2000; 03;
Santa Rosa do Purus; AC; 82.880,89; 2000; 03;
Sena Madureira; AC; 170.531,85; 2000; 03;
Senador Guiomard; AC; 138.134,77; 2000; 03;
Tarauacá; AC; 196.370,03; 2000; 03;
Xapuri; AC; 144.693,71; 2000; 03;
Acrelândia; AC; 85.965,19; 2000; 04;
Assis Brasil; AC; 85.965,19; 2000; 04;
Brasiléia; AC; 166.158,20; 2000; 04;
Bujari; AC; 85.965,19; 2000; 04;
Capixaba; AC; 85.965,19; 2000; 04;
Cruzeiro do Sul; AC; 337.676,25; 2000; 04;
Epitaciolândia; AC; 114.620,28; 2000; 04;
Feijó; AC; 200.585,47; 2000; 04;
Jordão; AC; 85.965,19; 2000; 04;
Mâncio Lima; AC; 85.965,19; 2000; 04;
Manoel Urbano; AC; 85.965,19; 2000; 04;
Marechal Thaumaturgo; AC; 85.965,19; 2000; 04;
Plácido de Castro; AC; 155.438,29; 2000; 04;
Porto Acre; AC; 85.965,19; 2000; 04;
Porto Walter; AC; 85.965,19; 2000; 04;
Rio Branco; AC; 3.798.295,17; 2000; 04;
Rodrigues Alves; AC; 85.965,19; 2000; 04;
Santa Rosa do Purus; AC; 85.965,46; 2000; 04;
Sena Madureira; AC; 176.878,06; 2000; 04;
Senador Guiomard; AC; 143.275,33; 2000; 04;
Tarauacá; AC; 203.677,76; 2000; 04;
Xapuri; AC; 150.078,37; 2000; 04;
Acrelândia; AC; 82.224,39; 2000; 05;
